# w3 dual-exit per-trade record | walker CH-1 exact 1487/1487 | field=SEARCH uncapped+catchup
date,cell,pnl_v4,pnl_run,armed,raised_hit
2017-01-19,POKED|FRESH,-7.64,-7.64,0,0
2017-01-20,FO,-5.86,-5.86,0,0
2017-01-25,FO,2.91,2.97,1,1
2017-01-26,FO,6.29,8.08,1,1
2017-01-27,FO,-6.53,-6.53,0,0
2017-01-30,POKED|FRESH,-4.9,-4.9,0,0
2017-01-31,CLEAN|FRESH,7.29,7.29,1,0
2017-02-02,POKED|FRESH,-2.22,-2.22,0,0
2017-02-03,POKED|FRESH,1.69,1.69,0,0
2017-02-06,CLEAN|FRESH,8.85,8.85,1,0
2017-02-07,POKED|SPENT,-2.69,-2.69,0,0
2017-02-08,CLEAN|SPENT,1.93,3.07,1,1
2017-02-09,CLEAN|FRESH,-3.61,-3.61,0,0
2017-02-10,FO,-7.14,-7.14,0,0
2017-02-14,POKED|FRESH,-6.17,-6.17,0,0
2017-02-15,FO,2.52,-5.34,1,1
2017-02-16,CLEAN|SPENT,1.03,1.03,0,0
2017-02-17,CLEAN|FRESH,0.2,-2.08,1,1
2017-02-21,CLEAN|FRESH,0.12,-5.5,1,1
2017-02-22,FO,-3.77,-3.77,0,0
2017-02-23,POKED|FRESH,7.16,9.63,1,1
2017-02-24,FO,5.46,4.73,1,1
2017-02-27,CLEAN|SPENT,-4.21,-4.21,0,0
2017-02-28,FO,-3.26,-3.26,0,0
2017-03-01,CLEAN|FRESH,-6.99,-6.99,0,0
2017-03-02,FO,5.09,10.18,1,1
2017-03-03,FO,4.35,4.35,1,0
2017-03-06,FO,6.13,6.13,1,0
2017-03-07,POKED|FRESH,3.7,7.93,1,1
2017-03-08,POKED|FRESH,2.56,4.69,1,1
2017-03-09,CLEAN|FRESH,-5.38,-5.38,0,0
2017-03-10,FO,-5.18,-5.18,0,0
2017-03-15,CLEAN|FRESH,-5.42,-5.42,0,0
2017-03-16,FO,-1.87,-1.87,0,0
2017-03-17,FO,0.4,1.58,1,1
2017-03-20,FO,-1.39,-1.39,0,0
2017-03-21,CLEAN|FRESH,7.67,7.67,1,0
2017-03-22,POKED|FRESH,0.71,1.73,1,1
2017-03-23,FO,1.09,-3.55,1,1
2017-03-27,FO,-3.26,-3.26,0,0
2017-03-28,CLEAN|SPENT,-2.83,-2.83,0,0
2017-03-30,FO,2.91,2.91,0,0
2017-04-04,FO,-1.41,-1.41,0,0
2017-04-05,CLEAN|FRESH,-3.09,-3.09,0,0
2017-04-06,FO,0.43,0.43,0,0
2017-04-07,FO,-9.74,-9.74,0,0
2017-04-10,FO,-4.22,-4.22,0,0
2017-04-13,CLEAN|SPENT,-3.31,-3.31,0,0
2017-04-18,CLEAN|FRESH,-3.75,-3.75,0,0
2017-04-20,CLEAN|FRESH,-3.21,-3.21,0,0
2017-04-21,CLEAN|FRESH,-3.28,-3.28,0,0
2017-04-25,FO,9.02,9.02,1,0
2017-04-27,FO,-0.22,0.46,1,1
2017-05-02,POKED|FRESH,0.37,-2.11,1,1
2017-05-03,FO,0.88,15.48,1,1
2017-05-04,POKED|FRESH,7.16,8.36,1,1
2017-05-09,CLEAN|FRESH,-3.21,-3.21,0,0
2017-05-10,CLEAN|SPENT,0.5,0.5,0,0
2017-05-12,FO,1.51,-0.29,1,1
2017-05-15,FO,1.64,-0.36,1,1
2017-05-16,FO,0.85,0.85,0,0
2017-05-17,FO,12.88,12.88,1,0
2017-05-18,CLEAN|SPENT,-5.4,-5.4,0,0
2017-05-19,POKED|FRESH,0.33,0.33,0,0
2017-05-22,POKED|FRESH,2.24,2.24,0,0
