date,n_avail,win_sec,imb,path_eff,srun,mvol,dur_cv,lvl_act,sh_path,sh_srun,sh_mvol,sh_lvl,nan_reason
2012-07-31,43541,2395.909,0.0175,0.037437,0.000333,0.04691,1.399585,0.227667,0.324022,0.025641,0.381576,0.383489,
2012-08-01,46791,1730.015,-0.003127,0.028725,0.0,0.081099,1.647822,0.076,0.314772,-0.142857,0.900617,0.337321,
2012-08-02,42182,2094.61,-0.015373,0.019155,0.0,0.082176,1.527375,0.131,0.360927,-0.029412,0.37259,0.257883,
2012-08-03,46385,1008.701,-0.042199,0.04128,0.002001,0.158703,1.338651,0.077,0.474836,0.1875,1.444169,0.166887,
2012-08-06,13364,7000.796,-0.007934,0.029391,-0.000333,0.047802,1.830588,0.475333,0.261603,0.017241,0.15437,0.480395,
2012-08-07,13911,3392.912,0.008805,0.037924,0.001334,0.045034,1.647069,0.126333,0.406074,0.017857,0.219817,0.271678,
2012-08-13,36503,2213.999,0.033364,0.023746,0.001,0.037106,1.29115,0.567667,0.337349,0.222222,0.19163,0.569814,
2012-08-14,38356,2342.665,0.011201,0.020719,0.000333,0.079849,1.432223,0.084,0.205517,-0.025641,0.702194,0.084955,
2012-08-15,15793,2402.014,-0.055175,0.032063,0.000667,0.061219,1.784239,0.046333,0.502884,-0.025,0.318398,0.058843,
2012-08-16,10482,6100.159,-0.032321,0.025869,0.001334,0.029842,1.50584,0.521,0.161128,0.0,0.129297,0.537413,
2012-08-17,11995,4535.913,-0.003683,0.023866,0.001334,0.030173,1.525859,0.464667,0.173469,0.0,0.15781,0.578115,
2012-08-20,11345,5813.206,-0.01167,0.014223,-0.000333,0.059769,1.680249,0.571333,0.154132,-0.010417,0.151778,0.71737,
2012-08-21,9252,7394.954,0.029839,0.013761,-0.000333,0.030571,1.529314,0.280333,0.070293,0.00813,0.127811,0.441661,
2012-08-22,9606,9941.872,0.080031,0.010343,0.000333,0.06779,1.924059,0.498,0.083608,0.006098,0.152091,0.553453,
2012-08-23,26498,2309.166,-0.00188,0.016284,-0.000333,0.056366,1.743,1.0,0.215645,0.0,0.346441,1.0,
2012-08-24,70096,1619.478,-0.006815,0.029656,0.0,0.057009,1.478303,0.673,0.301147,-0.038462,0.72111,0.856525,
2012-08-30,51888,1243.509,-0.010025,0.052815,0.000333,0.056774,1.134181,0.027,0.586042,-0.05,0.641615,0.052822,
2012-08-31,49211,1193.373,-0.010221,0.081472,0.001,0.103356,1.301002,0.067333,0.591441,0.052632,1.963842,0.087795,
2012-09-03,52878,2795.995,0.002175,0.030336,0.000667,0.036681,1.784261,0.733,0.293367,0.108696,0.277622,0.777704,
2012-09-04,53642,1157.96,-0.015775,0.060229,0.000333,0.074753,1.26284,0.066,0.740614,0.052632,1.004113,0.223135,
2012-09-06,15093,3195.14,0.015447,0.02591,0.000667,0.059434,1.660267,0.665333,0.308917,0.018868,0.277611,0.732716,
2012-09-07,48973,1864.483,0.029299,0.1137,0.001334,0.16366,1.364299,0.013667,0.641791,0.0,3.043252,0.069307,
2012-09-11,28101,2581.967,0.011317,0.035637,-0.000667,0.054036,1.460446,0.36,0.315736,0.023256,0.383482,0.597975,
2012-09-12,13262,5102.418,-0.013286,0.019076,0.0,0.027516,1.686437,0.966333,0.087699,0.023529,0.140888,0.989463,
