# h0_tickfeat v2 (SIGNAL BAR j — Engineer BLOCKING-1 fix; v1 f1bdba72 โมฆะ) | ROLL_D=60 MIN_OBS=30 | Dukascopy M1 col6 | baseline ok-days past-only | reads day_facts date/status/traded/entry_time + h0_features asian_width ONLY (no P&L)
date,tick_sig,rel_tick_sig,rjR,asian_ticks,rel_tick_asian,tick_cov_asian,base_obs_sig
2013-03-15,20,0.240964,0.0504808,9102,0.657659,0.995,60
2013-03-18,160,3.13725,0.0928123,21333,1.55886,1,60
2013-03-19,272,2.32479,0.433566,8402,0.613957,0.848,60
2013-03-20,72,1.56522,0.160112,6877,0.502521,1,60
2013-03-21,50,1.47059,0.154525,8073,0.603273,0.993,60
2013-03-22,,,,8954,0.669108,0.986,0
2013-03-25,92,1.75238,0.108356,13360,1.01477,0.993,60
2013-03-26,94,1.02732,0.142379,9238,0.701682,0.995,60
2013-03-27,79,2.13514,0.151515,7479,0.572511,0.99,60
2013-03-28,,,,9350,0.71854,0.995,0
2013-04-01,,,,8328,0.647011,1,0
2013-04-02,,,,7428,0.577089,0.988,0
2013-04-03,223,3.98214,0.525267,15579,1.21035,0.995,60
2013-04-04,143,2.04286,0.0336273,19436,1.48787,0.995,60
2013-04-05,,,,12604,0.964863,0.998,0
2013-04-08,,,,11118,0.863769,1,0
2013-04-09,138,1.19481,0.229008,9827,0.772654,0.993,60
2013-04-10,60,1.33333,0.0968523,7599,0.606682,0.945,60
2013-04-11,,,,13111,1.05559,0.993,0
2013-04-12,186,3.2069,0.437642,8785,0.707298,0.979,60
2013-04-15,239,3.88618,0.154956,47121,3.79381,1,60
2013-04-16,,,,42365,3.41089,0.998,0
2013-04-17,,,,30938,2.49088,0.971,0
2013-04-18,,,,31123,2.48477,1,0
2013-04-19,58,1.56757,0.0217077,20630,1.64704,0.998,60
2013-04-22,156,3.28421,0.0834961,31955,2.5512,1,60
2013-04-23,,,,24912,1.95872,0.993,0
2013-04-24,123,2.92857,0.0882002,23404,1.84015,1,60
2013-04-25,162,2.63415,0.0836105,19123,1.50356,0.986,60
2013-04-26,,,,26240,2.03861,1,0
2013-04-29,170,2.26667,0.344181,13813,1.06168,1,60
2013-04-30,328,5.125,0.738499,11029,0.833289,0.995,60
2013-05-01,,,,8173,0.617506,1,0
2013-05-02,,,,14915,1.12689,0.995,0
2013-05-03,98,1.5935,0.122203,12451,0.92545,0.993,60
2013-05-06,,,,10779,0.801174,0.998,0
2013-05-07,100,1.3986,0.0825933,15190,1.12903,0.969,60
2013-05-08,,,,16961,1.26067,0.995,0
2013-05-09,,,,14822,1.08344,0.964,0
2013-05-10,146,2.80769,0.0911063,14790,1.0688,0.993,60
2013-05-13,,,,21077,1.50863,0.974,0
2013-05-14,137,2.53704,0.0633484,14478,1.02757,0.995,60
2013-05-15,172,3.69892,0.226389,13909,0.973406,0.99,60
2013-05-16,232,3.29078,0.300263,20768,1.45343,0.99,60
2013-05-17,161,3.03774,0.12844,18024,1.23165,0.995,60
2013-05-20,,,,29889,2.04244,0.952,0
2013-05-21,93,2.69565,0.169643,20619,1.40898,1,60
2013-05-22,153,2.78182,0.125136,18161,1.24101,1,60
2013-05-23,,,,24574,1.67924,0.998,0
2013-05-24,,,,18130,1.2389,0.998,0
2013-05-27,39,0.795918,0.058114,13148,0.898456,0.971,60
2013-05-28,,,,13156,0.899002,0.99,0
2013-05-29,,,,16499,1.15466,0.998,0
2013-05-30,76,2.05405,0.12404,14835,1.03821,0.995,60
2013-05-31,,,,14125,0.988523,1,0
2013-06-03,,,,11256,0.78705,0.971,0
2013-06-04,,,,13995,0.978569,0.967,0
2013-06-05,83,1.56604,0.0895522,15361,1.09253,0.99,60
2013-06-06,85,1.73469,0.121317,15407,1.0773,0.998,60
2013-06-07,,,,17361,1.18635,0.995,0
2013-06-10,136,2.15873,0.108824,13974,0.943807,1,60
2013-06-11,55,1.34146,0.151515,11070,0.74767,0.99,60
