# h0_dcfeat v2 (+os_canon SE M4; v1 faff68a3 superseded) | delta=0.5*asian_width ex-ante | window 08:00→close(j) | DC def verified from arXiv 0809.1040 full text | reads day_facts date/status/traded/entry_time/dir + h0_features asian_width ONLY
date,dc_mode_aligned,os_units,os_canon,n_dc,dc_state,dc_state_canon
2015-11-04,1,0.5279,0.5502,1,FRESH,FRESH
2015-11-05,1,0.3597,0.3717,1,FRESH,FRESH
2015-11-06,1,4.3717,4.8929,1,EXTENDED,EXTENDED
2015-11-09,1,1.6784,1.6804,6,MID,MID
2015-11-10,1,1.0859,1.1924,1,MID,MID
2015-11-11,1,1.0502,1.0879,1,MID,MID
2015-11-12,1,0.6683,0.7107,1,FRESH,FRESH
2015-11-13,1,2.1283,2.1543,4,EXTENDED,EXTENDED
2015-11-16,-1,,,0,UNDEF,UNDEF
2015-11-17,1,0.5784,0.6324,2,FRESH,FRESH
2015-11-18,,,,,,
2015-11-19,1,0.8621,0.9224,1,FRESH,FRESH
2015-11-20,-1,,,0,UNDEF,UNDEF
2015-11-23,1,0.2045,0.2211,1,FRESH,FRESH
2015-11-24,,,,,,
2015-11-25,,,,,,
2015-11-26,,,,,,
2015-11-27,-1,,,0,UNDEF,UNDEF
2015-11-30,,,,,,
2015-12-01,,,,,,
2015-12-02,,,,,,
2015-12-03,,,,,,
2015-12-04,1,0.7581,0.7581,4,FRESH,FRESH
2015-12-07,,,,,,
2015-12-08,,,,,,
2015-12-09,1,1.2946,1.7011,2,MID,MID
2015-12-10,1,0.2784,0.2848,7,FRESH,FRESH
2015-12-11,1,0.9490,0.9745,1,FRESH,FRESH
2015-12-14,,,,,,
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-18,,,,,,
2015-12-21,-1,,,0,UNDEF,UNDEF
2015-12-22,-1,,,0,UNDEF,UNDEF
2015-12-23,-1,,,0,UNDEF,UNDEF
2015-12-24,,,,,,
2015-12-28,,,,,,
2015-12-29,,,,,,
2015-12-30,1,0.8068,0.8237,1,FRESH,FRESH
2015-12-31,1,1.1325,1.2490,1,MID,MID
2016-01-04,,,,,,
2016-01-05,-1,,,0,UNDEF,UNDEF
2016-01-06,-1,,,0,UNDEF,UNDEF
2016-01-07,1,0.8141,0.8432,2,FRESH,FRESH
2016-01-08,,,,,,
2016-01-11,,,,,,
2016-01-12,1,1.5467,1.5964,2,MID,MID
2016-01-13,1,0.0000,0.3320,1,FRESH,FRESH
2016-01-14,,,,,,
2016-01-15,,,,,,
2016-01-18,,,,,,
2016-01-19,1,0.0000,0.1619,1,FRESH,FRESH
2016-01-20,1,-0.2400,-0.2267,1,FRESH,FRESH
2016-01-21,-1,,,0,UNDEF,UNDEF
2016-01-22,1,2.0863,2.3046,6,EXTENDED,EXTENDED
2016-01-25,,,,,,
2016-01-26,-1,,,0,UNDEF,UNDEF
2016-01-27,,,,,,
2016-01-28,,,,,,
2016-01-29,,,,,,
2016-02-01,-1,,,0,UNDEF,UNDEF
2016-02-02,,,,,,
2016-02-03,1,1.9111,1.9778,2,MID,MID
2016-02-04,1,0.3145,0.3268,2,FRESH,FRESH
2016-02-05,1,0.7990,0.8759,2,FRESH,FRESH
2016-02-08,1,0.9378,0.9622,1,FRESH,FRESH
2016-02-09,1,1.9925,2.0037,6,MID,EXTENDED
2016-02-10,1,2.7504,2.8923,6,EXTENDED,EXTENDED
2016-02-11,1,0.0000,0.0011,1,FRESH,FRESH
2016-02-12,,,,,,
2016-02-15,,,,,,
2016-02-16,,,,,,
2016-02-17,,,,,,
2016-02-18,1,0.0000,0.1391,3,FRESH,FRESH
2016-02-19,1,2.3316,2.3368,4,EXTENDED,EXTENDED
2016-02-22,,,,,,
2016-02-23,,,,,,
2016-02-24,1,1.5067,1.6331,2,MID,MID
2016-02-25,-1,,,0,UNDEF,UNDEF
2016-02-26,,,,,,
2016-02-29,,,,,,
2016-03-01,,,,,,
2016-03-02,,,,,,
2016-03-03,1,0.0000,0.4685,3,FRESH,FRESH
2016-03-04,-1,,,0,UNDEF,UNDEF
2016-03-07,1,0.1882,0.2319,1,FRESH,FRESH
2016-03-08,1,0.0000,0.3027,1,FRESH,FRESH
2016-03-09,1,0.3859,0.4009,1,FRESH,FRESH
2016-03-10,-1,,,0,UNDEF,UNDEF
2016-03-11,,,,,,
2016-03-14,1,1.3128,1.8266,5,MID,MID
2016-03-15,,,,,,
2016-03-16,1,0.4458,0.7068,4,FRESH,FRESH
2016-03-17,1,0.1796,0.2120,1,FRESH,FRESH
2016-03-18,,,,,,
2016-03-21,-1,,,0,UNDEF,UNDEF
