# h0_msfeat v1 | window=1440min fixed (SLOPE_B) | delta=0.5*aw | as-of close(j-1) sequence-position | swings=DC-confirmed extremes | reads day_facts date/status/traded/entry_time/dir + features aw ONLY
date,ms_structure,ms_state,n_swings
2016-12-14,,,
2016-12-15,DOWN,ALIGNED,8
2016-12-16,,,
2016-12-19,DOWN,OPPOSED,5
2016-12-20,,,
2016-12-21,,,
2016-12-22,DOWN,ALIGNED,6
2016-12-23,,,
2016-12-27,UNDEF,UNDEF,1
2016-12-28,UNDEF,UNDEF,3
2016-12-29,UNDEF,UNDEF,2
2016-12-30,,,
2017-01-03,,,
2017-01-04,DOWN,OPPOSED,12
2017-01-05,UNDEF,UNDEF,1
2017-01-06,,,
2017-01-09,UNDEF,UNDEF,3
2017-01-10,UP,ALIGNED,5
2017-01-11,UP,ALIGNED,20
2017-01-12,,,
2017-01-17,,,
2017-01-19,MIXED,MIXED,4
2017-01-20,UP,ALIGNED,10
2017-01-23,,,
2017-01-24,,,
2017-01-25,UNDEF,UNDEF,3
2017-01-26,UP,OPPOSED,12
2017-01-27,MIXED,MIXED,7
2017-01-30,UNDEF,UNDEF,2
2017-01-31,UP,ALIGNED,5
2017-02-01,,,
2017-02-02,UP,ALIGNED,6
2017-02-03,UP,ALIGNED,14
2017-02-06,UP,ALIGNED,4
2017-02-07,MIXED,MIXED,13
2017-02-08,MIXED,MIXED,8
2017-02-09,UP,ALIGNED,13
2017-02-10,MIXED,MIXED,8
2017-02-13,,,
2017-02-14,MIXED,MIXED,7
2017-02-15,MIXED,MIXED,10
2017-02-16,UP,ALIGNED,6
2017-02-17,MIXED,MIXED,35
2017-02-20,,,
2017-02-21,UNDEF,UNDEF,2
2017-02-22,MIXED,MIXED,7
2017-02-23,DOWN,OPPOSED,23
2017-02-24,MIXED,MIXED,17
2017-02-27,MIXED,MIXED,7
2017-02-28,MIXED,MIXED,14
2017-03-01,DOWN,ALIGNED,8
2017-03-02,MIXED,MIXED,11
2017-03-03,DOWN,ALIGNED,7
2017-03-06,UNDEF,UNDEF,2
2017-03-07,DOWN,ALIGNED,11
2017-03-08,DOWN,ALIGNED,9
2017-03-09,DOWN,ALIGNED,8
2017-03-10,DOWN,ALIGNED,7
2017-03-13,,,
2017-03-14,,,
2017-03-15,MIXED,MIXED,6
2017-03-16,UP,ALIGNED,4
2017-03-17,DOWN,OPPOSED,21
2017-03-20,UNDEF,UNDEF,1
2017-03-21,UNDEF,UNDEF,2
2017-03-22,DOWN,OPPOSED,24
2017-03-23,MIXED,MIXED,9
2017-03-24,,,
2017-03-27,UNDEF,UNDEF,1
2017-03-28,MIXED,MIXED,15
2017-03-29,,,
2017-03-30,DOWN,ALIGNED,5
2017-03-31,,,
2017-04-03,,,
2017-04-04,UNDEF,UNDEF,3
2017-04-05,DOWN,OPPOSED,17
2017-04-06,MIXED,MIXED,7
2017-04-07,UNDEF,UNDEF,1
