# h0_day_facts v1 | field=SIM-SEARCH uncapped flat0.01 ea_catchup cfg={'CAPR': 1.0, 'A': 1.0, 'D': 1.0, 'SLOPE': 0.0005, 'EMA_P': 2880, 'SLOPE_B': 1440, 'allow_short': True, 'spread_mult': 1.0} | features_sha256=ed49e6cd77b1cf578f94ea5a708ab70d5de3ab693c3837f966dad2b22d8ddb5c | MED-1: ห้ามเรียก edge จากสนามนี้จนผ่าน capped+real-tick confirm
date,dow,status,bars,sess_bars,max_gap_min,first_sess_min,last_sess_min,days_since_prev,prev_ok,warmup_incomplete,asian_bars,asian_width,overnight_gap,prev_range,rv_prev,rv_pct250,range_exp,slope_08,slope_pct250,traded,entry_time,pnl,reason,dir,R,exit_date,cross_day
2014-01-13,0,ok,1380,1380,1,60,1439,3,1,0,420,7.7,-0.38,22.07,0.0142616,79.2,1.07843,0.00799553,89.6,0,,,,,,,
2014-01-14,1,ok,1381,1380,1,60,1439,1,1,0,420,3.58,-0.05,11.4,0.00798628,21.2,0.540797,0.00640745,88,1,17:30,-3.61,stop,1,3.58,2014-01-14,0
2014-01-15,2,ok,1380,1379,2,60,1439,1,1,0,420,6.4,0,13.6,0.0078863,20.8,0.664549,-0.000215369,49.6,1,11:03,-2.3,eod,-1,6.4,2014-01-15,0
2014-01-16,3,ok,1380,1379,2,60,1439,1,1,0,419,3.82,0,10.75,0.0073224,16,0.525287,-0.00297865,33.2,1,09:48,-4.17,stop,-1,3.82,2014-01-16,0
2014-01-17,4,ok,1373,1372,3,60,1439,1,1,0,418,3.27,0.05,8.87,0.00677591,10.4,0.448433,-0.000277264,48.4,0,,,,,,,
2014-01-20,0,short,1078,1078,2,60,1139,3,1,0,420,8.57,-0.64,17.15,0.00764702,18.4,0.867037,0.00469988,82.8,0,,,,,,,
2014-01-21,1,ok,1379,1379,2,60,1439,1,0,0,419,4.53,-0.44,8.57,0.00678733,10.4,0.454763,0.00477553,83.2,0,,,,,,,
2014-01-22,2,ok,1379,1378,2,60,1439,1,1,0,419,2.89,0,20.09,0.00691363,11.2,1.06607,-0.00375796,30.4,1,08:11,3.4,eod,-1,2.89,2014-01-22,0
2014-01-23,3,ok,1380,1379,2,60,1439,1,1,0,420,6.04,-0.02,7.76,0.00607854,6,0.41178,-0.00452039,27.2,0,,,,,,,
2014-01-24,4,ok,1379,1378,2,60,1439,1,1,0,419,5.73,-0.01,33.91,0.0100373,42.4,1.90559,0.00760807,89.2,1,13:28,1.72,stop,1,5.73,2014-01-24,0
2014-01-27,0,ok,1380,1380,1,60,1439,3,1,0,420,9.25,0.18,15.73,0.00907539,31.2,0.883956,0.00861544,91.2,0,,,,,,,
2014-01-28,1,ok,1380,1379,2,60,1439,1,1,0,420,5.75,-0.02,27.06,0.0104378,45.6,1.64599,-0.000183576,50.8,1,10:35,-6.11,stop,-1,5.75,2014-01-28,0
2014-01-29,2,ok,1380,1379,2,60,1439,1,1,0,419,7.11,0.04,12.72,0.00854414,24.8,0.714808,-0.00352138,32,0,,,,,,,
2014-01-30,3,ok,1380,1379,2,60,1439,1,1,0,420,6.49,0.16,21.51,0.0116271,58.4,1.20877,0.00296858,72.4,0,,,,,,,
2014-01-31,4,ok,1378,1377,2,60,1439,1,1,0,420,3.2,-0.09,29.65,0.0101266,42,1.6662,-0.00678021,16.8,1,09:12,-3.58,stop,-1,3.2,2014-01-31,0
2014-02-03,0,ok,1380,1380,1,60,1439,3,1,0,420,3.89,-1.86,16.44,0.0086864,26.8,0.923855,-0.00397986,30.4,1,10:00,-4.26,stop,-1,3.89,2014-02-03,0
2014-02-04,1,ok,1381,1380,1,60,1439,1,1,0,420,3.73,0,25.43,0.0121317,64.8,1.51414,0.00367609,76.4,1,08:14,-3.76,stop,1,3.73,2014-02-04,0
2014-02-05,2,ok,1377,1376,2,60,1439,1,1,0,417,3.3,0,13.71,0.00805213,20.4,0.816314,0.00120702,61.6,1,10:02,11.53,stop,1,3.3,2014-02-05,0
2014-02-06,3,ok,1379,1378,2,60,1439,1,1,0,418,4.26,0,21.84,0.0114116,54.4,1.35779,0.00232587,69.2,1,10:28,1.9,stop,1,4.26,2014-02-06,0
2014-02-07,4,ok,1377,1376,2,60,1439,1,1,0,419,6.75,0,14.06,0.00942802,34,0.874106,0.00139083,62.8,1,09:46,-6.78,stop,1,6.75,2014-02-07,0
2014-02-10,0,ok,1379,1379,2,60,1439,3,1,0,419,4.99,-1.52,16.19,0.0135871,75.2,1.00653,0.00374466,77.2,1,08:03,3.94,eod,1,4.99,2014-02-10,0
2014-02-11,1,ok,1379,1378,2,60,1439,1,1,0,420,13.79,-0.02,12.73,0.00655247,7.2,0.780264,0.00738393,88,1,15:01,1.82,eod,1,13.79,2014-02-11,0
2014-02-12,2,ok,1380,1379,2,60,1439,1,1,0,419,7.19,-0.04,20.18,0.0102995,42.8,1.26441,0.00766529,88.8,1,14:36,-0.94,eod,1,7.19,2014-02-12,0
2014-02-13,3,ok,1381,1380,1,60,1439,1,1,0,420,4.84,0.04,12.29,0.00709012,10.8,0.753295,0.00488771,83.2,1,13:35,8.1,eod,1,4.84,2014-02-13,0
2014-02-14,4,ok,1379,1378,2,60,1439,1,1,0,420,7.42,-0.09,16.65,0.00752468,13.6,1.02053,0.00577213,84.8,1,08:42,10.94,eod,1,7.42,2014-02-14,0
2014-02-17,0,short,1139,1139,3,60,1200,3,1,0,418,10.89,0.53,21.36,0.00811973,19.6,1.29102,0.011962,97.2,0,,,,,,,
2014-02-18,1,ok,1379,1379,2,60,1439,1,0,0,420,14.87,0.86,10.89,0.00651701,6.4,0.644379,0.00941504,93.6,0,,,,,,,
2014-02-19,2,ok,1378,1377,2,60,1439,1,1,0,418,8.42,-0.02,19.38,0.00815741,19.6,1.14675,0.000582551,57.2,0,,,,,,,
