# w7_run_trades.csv per-trade dual-exit record | field=SEARCH
date,cell,pnl_v4,pnl_ts,uw30,d30,armed
2017-07-19,POKED|FRESH,-2.87,-1.15,1,-1.1500,0
2017-07-20,POKED|FRESH,0.84,0.84,0,2.6300,0
2017-07-21,FO,3.32,3.32,0,0.3200,1
2017-07-24,POKED|SPENT,-3.82,-0.94,1,-0.9400,0
2017-07-25,FO,-3.61,-3.61,0,0.0900,0
2017-07-26,FO,-4.81,-0.24,1,-0.0200,0
2017-07-27,CLEAN|FRESH,-5.45,-2.92,1,-2.9200,0
2017-07-28,POKED|FRESH,0.74,0.74,0,3.4300,1
2017-08-01,CLEAN|SPENT,-2.23,-2.23,0,1.0700,0
2017-08-07,POKED|FRESH,-2.8,-2.8,0,0.3600,0
2017-08-08,CLEAN|SPENT,-2.27374e-13,-2.27374e-13,0,3.2700,1
2017-08-09,FO,8.38,-0.39,1,-0.3900,1
2017-08-10,FO,5.75,5.75,0,1.2400,1
2017-08-11,CLEAN|FRESH,-5.08,-5.08,,,0
2017-08-15,FO,-0.19,-0.4,1,-0.2000,0
2017-08-16,POKED|SPENT,-3.1,-0.29,1,-0.0600,0
2017-08-17,FO,-7.03,-1.61,1,-1.6100,0
2017-08-18,CLEAN|SPENT,3.86,3.86,0,0.3400,1
2017-08-21,FO,4.97,-1.69,1,-1.6900,1
2017-08-28,FO,15.84,15.84,0,1.8700,1
2017-08-29,POKED|FRESH,-11.2,-11.2,0,0.4900,0
2017-09-01,CLEAN|FRESH,-3.53,-3.53,,,0
2017-09-04,POKED|FRESH,-4.82,-1.08,1,-1.0800,0
2017-09-07,FO,5.53,-0.74,1,-0.7400,1
2017-09-08,FO,-6.66,-6.66,0,0.3200,0
2017-09-11,CLEAN|FRESH,6,6,0,0.5700,1
2017-09-12,CLEAN|FRESH,-6.1,-0.62,1,-0.3700,0
2017-09-13,POKED|SPENT,7.28,7.28,0,1.8400,1
2017-09-14,CLEAN|FRESH,-4.8,-4.8,,,0
2017-09-18,POKED|FRESH,6.1,-0.43,1,-0.2300,1
2017-09-19,POKED|SPENT,-3.87,-1.21,1,-1.0100,0
2017-09-21,POKED|FRESH,0.34,-0.26,1,-0.0600,1
2017-09-27,POKED|SPENT,0.55,0.55,0,0.3700,1
2017-09-28,FO,-4.65,-0.65,1,-0.4100,0
2017-09-29,FO,-4.28,-2.74,1,-2.5400,0
2017-10-02,FO,1.31,-1.15,1,-0.9300,0
2017-10-06,POKED|FRESH,-2.78,-2.78,,,0
2017-10-10,FO,-0.33,-1.17,1,-1.1700,0
2017-10-12,FO,-4.03,-0.03,1,-0.0300,0
2017-10-13,FO,-3.52,-3.52,0,0.2100,0
2017-10-16,CLEAN|FRESH,-3.48,-0.37,1,-0.3700,0
2017-10-18,FO,3.39,3.39,0,0.1800,1
2017-10-23,CLEAN|FRESH,-5.41,-2.04,1,-1.8200,0
2017-10-24,CLEAN|FRESH,2.53,2.53,0,0.3100,1
2017-10-25,FO,-6.08,-1.36,1,-1.1400,0
2017-10-27,CLEAN|FRESH,-3.44,-0.3,1,-0.0900,0
2017-10-30,FO,-3.45,-0.24,1,-0.0000,0
2017-10-31,FO,-2.6,-0.6,1,-0.6000,0
2017-11-02,CLEAN|SPENT,-6.37,-1.57,1,-1.5700,0
2017-11-08,CLEAN|FRESH,3.95,-0.27,1,-0.2700,1
2017-11-09,FO,0.73,-1.56,1,-1.5600,0
2017-11-14,CLEAN|SPENT,0.38,0.38,0,1.1200,1
2017-11-15,FO,-4.06,-2.66,1,-2.6600,0
2017-11-17,POKED|FRESH,9.32,-0.81,1,-0.8100,1
2017-11-21,POKED|SPENT,-3.65,-3.65,,,0
2017-11-23,CLEAN|SPENT,-3.01,-0.48,1,-0.4800,0
2017-11-27,FO,3.93,-0.48,1,-0.4800,1
2017-11-29,FO,-3.18,-0.16,1,-0.1600,0
2017-11-30,CLEAN|FRESH,0.26,-1.31,1,-1.0800,1
2017-12-01,POKED|FRESH,-3.07,-3.07,0,0.3700,0
2017-12-04,CLEAN|FRESH,-3.66,-1.97,1,-1.7600,0
2017-12-05,POKED|FRESH,9.82,9.82,0,0.9000,1
2017-12-06,POKED|FRESH,-3.95,-0.3,1,-0.0800,0
2017-12-07,FO,11.59,11.59,0,0.2200,1
2017-12-08,POKED|FRESH,-2.87,-0.95,1,-0.7400,0
2017-12-11,CLEAN|SPENT,3.83,-0.61,1,-0.3800,1
2017-12-12,POKED|SPENT,0.8,0.8,0,0.8400,1
2017-12-13,CLEAN|FRESH,-3.11,-0.46,1,-0.2300,0
2017-12-15,FO,2.32,2.32,0,0.3500,1
2017-12-18,FO,5.21,-0.06,1,-0.0600,1
2017-12-19,FO,-3.55,-0.48,1,-0.4800,0
2017-12-20,POKED|FRESH,0.27,-0.05,1,-0.0500,0
2017-12-22,FO,7.97,-0.62,1,-0.6200,1
2017-12-26,FO,2.5,2.5,0,0.3700,0
2017-12-27,CLEAN|FRESH,1.21,1.21,0,0.8700,1
2017-12-28,FO,1.55,-0.21,1,-0.2100,0
2017-12-29,CLEAN|FRESH,4.78,4.78,0,0.2700,1
